Team,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
South Dakota State,0.377,0.348,0.597,53.5,49.9,7.7,8.5,0.568,15.4,24.4,0.27
South Dakota,0.325,0.332,0.572,50.5,51.8,6.5,6.9,0.533,13.9,22.1,0.254
South Florida,0.343,0.33,0.488,52.8,48.6,7.7,8.6,0.458,17.2,33.2,0.218
Southeast Missouri State,0.405,0.396,0.532,51.6,59.4,9.7,6.7,0.499,19.2,27.6,0.272
Southeastern Louisiana,0.41,0.405,0.496,48.5,44.2,9.5,7.3,0.454,18.8,31.2,0.278
USC,0.375,0.312,0.545,55,50.3,7,13.6,0.521,15.4,35.6,0.242
SIU Edwardsville,0.33,0.349,0.527,48.4,54.4,8.4,13.1,0.497,20.3,26.5,0.225
Southern Illinois,0.294,0.411,0.549,46.5,57.3,9.3,5.6,0.528,16.7,17,0.195
Southern Methodist,0.313,0.375,0.547,51.4,56.7,8.7,12.7,0.514,17.4,30.5,0.228
Southern Mississippi,0.281,0.302,0.507,50.8,50.1,8.6,6.7,0.48,18.2,24.4,0.19
Southern Utah,0.374,0.419,0.582,55.5,48.4,9.5,7.2,0.545,14.3,31.7,0.279
Southern,0.405,0.299,0.517,51.5,57.4,11,6.6,0.48,19.4,27.9,0.272
St. Bonaventure,0.276,0.319,0.537,52.9,57.3,9.5,12.5,0.507,14.5,33.6,0.201
St. Francis (NY),0.307,0.293,0.53,49.4,50,10.9,8.9,0.495,14.1,30.2,0.226
St. John's (NY),0.286,0.333,0.538,48.7,56.5,12.1,10.2,0.504,14.6,29.1,0.214
Stanford,0.365,0.309,0.549,50,49,10,9.5,0.514,19,25.1,0.261
Stephen F. Austin,0.421,0.249,0.588,55.4,53.2,12.9,10,0.562,19.5,36.8,0.286
Stetson,0.273,0.423,0.542,50.8,54.7,10.3,7.7,0.517,16.6,29.3,0.19
Stony Brook,0.329,0.359,0.499,51.7,51.2,8.2,14.5,0.465,17.3,30.8,0.225
Syracuse,0.284,0.392,0.545,48.7,56.5,12.4,14.4,0.507,13.8,30.2,0.222
Tarleton State,0.365,0.258,0.554,48.7,55.5,15.1,10,0.518,14.8,26,0.263
Temple,0.389,0.387,0.512,49.5,61.5,6.1,6.7,0.467,17.2,25.9,0.279
Tennessee-Martin,0.294,0.355,0.495,46.7,52,10.3,8,0.458,17.8,29.2,0.211
Tennessee State,0.326,0.358,0.507,46.9,47.2,10.1,8.9,0.475,18.5,25.5,0.223
Tennessee Tech,0.27,0.427,0.525,49.4,57.9,9.2,6.2,0.501,20.1,26.6,0.183
Tennessee,0.351,0.343,0.542,51.6,59.2,10.5,14.4,0.501,15.7,31.4,0.262
Texas A&M-Corpus Christi,0.357,0.358,0.513,48.4,56.8,9.6,8.1,0.477,20.9,24.6,0.245
Texas A&M,0.34,0.405,0.516,50.9,54.4,10.4,6.7,0.476,19.1,32.8,0.246
Texas-Arlington,0.268,0.397,0.513,48.9,52.1,11.4,12.2,0.479,14.3,29.3,0.197
Texas Christian,0.324,0.363,0.527,50.2,54.1,8.9,9.1,0.499,18.3,28.9,0.218
Texas-El Paso,0.291,0.366,0.521,49.4,46.9,8.9,7.5,0.484,13.9,24.2,0.217
Texas-Rio Grande Valley,0.402,0.369,0.496,49.5,60.7,11.9,11.2,0.463,16.9,32.4,0.256
Texas-San Antonio,0.234,0.364,0.537,51.3,49.9,8.4,8.8,0.508,13.7,29.9,0.178
Texas Southern,0.382,0.276,0.526,53.9,45.8,9.6,12.4,0.489,18.4,32.7,0.267
Texas State,0.274,0.269,0.54,52.4,52.6,10.4,9.6,0.514,17.8,29.8,0.194
Texas Tech,0.393,0.313,0.537,51.5,51,10.7,12.6,0.497,13.9,33.6,0.279
Texas,0.341,0.419,0.559,53,49.9,9.3,10,0.529,17.5,31.3,0.241
Toledo,0.284,0.451,0.576,50.3,56.1,8.6,6.4,0.543,13.4,29.6,0.221
Towson,0.334,0.295,0.497,51.5,39.2,7.4,7.9,0.454,15.5,34.1,0.243
Troy,0.348,0.388,0.492,51.2,50.3,8.9,8.7,0.452,18.3,28.8,0.242
Tulane,0.366,0.4,0.493,45.8,55.3,11,9.7,0.442,14.8,22.9,0.273
Tulsa,0.33,0.399,0.539,49.2,57.8,9.3,6.3,0.511,17.4,26.9,0.223
UCLA,0.326,0.317,0.552,53.2,51.6,7.5,7.8,0.52,14.5,30.2,0.235
Utah State,0.302,0.32,0.533,57.2,60.7,9.8,14.6,0.5,16.5,35.7,0.219
Utah Valley,0.422,0.269,0.546,54.5,62.5,7.2,11.6,0.522,18,31.5,0.266
Utah,0.288,0.346,0.567,47.9,57.6,7.9,9.2,0.531,16.8,23.6,0.228
Valparaiso,0.272,0.403,0.512,47.1,53.9,9.5,9.4,0.479,16.3,20.1,0.198
Vanderbilt,0.329,0.471,0.548,49.3,52.2,10.1,7.3,0.512,17.4,28.1,0.242
Vermont,0.33,0.407,0.572,52.9,55.1,7.4,8,0.533,16,26.6,0.257
Villanova,0.301,0.446,0.563,51.1,57.8,8,4.4,0.529,11.9,28,0.23
VCU,0.339,0.35,0.551,49.9,53.1,13.3,15.1,0.511,18.5,28.6,0.258
VMI,0.272,0.469,0.584,51.3,55.7,7.3,8,0.554,15.5,23.4,0.21
Virginia Tech,0.332,0.41,0.553,52.3,56.6,7.1,11.8,0.525,15.2,28.4,0.232
Virginia,0.22,0.423,0.589,52.1,55.1,8,13,0.561,13.9,23.1,0.179
Wagner,0.28,0.305,0.522,52.5,48.4,10.8,8.2,0.491,15.3,34.8,0.201
Wake Forest,0.294,0.46,0.524,48.9,50.3,9.1,6.2,0.49,17.7,25.8,0.214
Washington State,0.347,0.396,0.517,52.3,51.8,8.8,9,0.479,18.7,30.8,0.246
Washington,0.262,0.392,0.517,44.5,43.7,8.6,8.9,0.489,17.3,23.4,0.185
Weber State,0.368,0.382,0.616,51.4,52.6,9.2,8,0.579,15.9,22.2,0.289
West Virginia,0.394,0.331,0.53,51.7,52.5,10.4,7.6,0.487,14.3,35.5,0.283
Western Carolina,0.333,0.42,0.558,49.6,50.1,6.7,7.4,0.526,17.3,22.9,0.242
Western Illinois,0.358,0.365,0.504,51.1,40.9,7.2,7.9,0.461,15.2,29.1,0.256
Western Kentucky,0.362,0.328,0.557,55,52.4,9.4,12.5,0.51,18.5,32.1,0.286
Western Michigan,0.252,0.37,0.513,48.2,49.1,6.5,5.3,0.494,19.1,23.6,0.161
Wichita State,0.365,0.406,0.514,49,54.3,8.8,9.5,0.477,13.9,30.6,0.251
William & Mary,0.32,0.361,0.504,48.4,47.2,7.8,8.4,0.461,17.5,28.6,0.239
Winthrop,0.357,0.393,0.558,56.3,53.6,10.7,6.7,0.53,16.6,35.5,0.245
Wisconsin,0.269,0.408,0.53,48.8,54.3,8.8,10.4,0.494,12,23.7,0.207
Wofford,0.254,0.504,0.579,51.6,54.3,9.8,6.1,0.56,16.6,27.7,0.179
Wright State,0.345,0.329,0.574,56.2,52,8.1,8.4,0.544,15.5,34.2,0.25
Wyoming,0.353,0.488,0.569,47,54.1,8.2,5.4,0.537,14.3,22.9,0.254
Xavier,0.259,0.388,0.544,50.8,62.6,9.8,10.3,0.521,14,26.8,0.18
Yale,,,,,,,,,,,
Youngstown State,0.321,0.362,0.522,51.3,48.7,8.6,4.6,0.484,13.9,33.6,0.233
