Team,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Colorado State,0.346,0.436,0.59,51.6,56.6,7.9,7.9,0.55,17.7,24.6,0.273
Colorado,0.299,0.359,0.563,53.2,51.3,8,7.8,0.52,14.6,30.8,0.246
Columbia,,,,,,,,,,,
Connecticut,0.296,0.333,0.529,53.4,49.4,9.2,14.4,0.495,14.6,36.6,0.216
Coppin State,0.438,0.494,0.515,43.7,54.1,10.8,8,0.486,18.3,18.5,0.273
Cornell,,,,,,,,,,,
Creighton,0.269,0.443,0.57,49.7,55.8,10.1,9.5,0.557,14.1,24.8,0.173
Dartmouth,,,,,,,,,,,
Davidson,0.262,0.491,0.581,53.8,57.8,8,8.2,0.563,14.7,28.4,0.18
Dayton,0.345,0.416,0.583,50.5,55.7,6.6,5.3,0.555,19.5,23.7,0.248
Delaware State,0.302,0.416,0.497,46.5,46.2,8.3,9.4,0.46,19.2,26.9,0.217
Delaware,0.375,0.405,0.542,51.6,54.2,6.8,9.6,0.505,18.7,26.9,0.267
Denver,0.34,0.344,0.539,46.8,48.4,7.9,7.5,0.503,18.6,22.1,0.245
DePaul,0.237,0.283,0.487,50.1,45.1,9.6,11,0.461,18.9,31.8,0.16
Detroit Mercy,0.253,0.446,0.582,49.1,52.7,9.9,7.2,0.551,14.9,27,0.203
Dixie State,0.348,0.341,0.511,47,62.5,9.2,5.3,0.471,18.3,25.3,0.249
Drake,0.244,0.314,0.573,53.8,46,10.6,8.4,0.552,13.2,31.6,0.174
Drexel,0.285,0.357,0.576,53.7,58.2,7.1,6.5,0.543,17.2,29.4,0.222
Duke,0.234,0.386,0.555,51.3,55.9,11.8,11.8,0.536,15.7,31.9,0.162
Duquesne,0.316,0.37,0.504,50.2,55,9.8,13,0.476,16.7,31,0.206
East Carolina,0.331,0.328,0.501,49,67.5,8.9,9.9,0.46,15.9,27.2,0.239
East Tennessee State,0.299,0.406,0.537,52.2,47.6,10.8,8.5,0.509,17.3,29.7,0.208
